ISO3,ISO3,Country,2007,2012,2017
ABW,ABW,Aruba,129987,0,0
AFG,AFG,Afghanistan,0,0,0
AGO,AGO,Angola,766795534,379055911,620230239
AIA,AIA,Anguilla,2197247,18223958,102567205
ALB,ALB,Albania,0,170000,0
AND,AND,Andorra,188897542,23304140,602433807
ARE,ARE,United Arab Emirates,75400775583,107918213732,192734242978
ARG,ARG,Argentina,30081438347,20907764650,32531222465
ARM,ARM,Armenia,0,0,0
ASM,ASM,American Samoa,0,0,0
ATA,ATA,Antartics,0,0,0
ATF,ATF,French Southern Territories,0,0,0
ATG,ATG,Antigua and Barbuda,11677438,0,0
AUS,AUS,Australia,471579126397,381232260757,543292922619
AUT,AUT,Austria,129521109226,74706743249,78354451699
AZE,AZE,Azerbaijan,0,953363325,1339910314
BDI,BDI,Burundi,0,0,1952708
BEL,BEL,Belgium,264059452182,206981033021,216075291903
BEN,BEN,Benin,0,0,0
BES,BES,"Bonaire, St. Eustatius and Saba",0,0,0
BFA,BFA,Burkina Faso,12957,0,0
BGD,BGD,Bangladesh,103735230,4392814,1557671
BGR,BGR,Bulgaria,5116637138,1838035338,2575749326
BHR,BHR,Bahrain,5830071990,10502768460,9526154057
BHS,BHS,Bahamas,10969393795,12039435087,13343861393
BIH,BIH,Bosnia & Herzegovina,247,1157085,885294
BLM,BLM,Saint Barthelemy,560416,302505,0
BLR,BLR,Belarus,0,152018,0
BLZ,BLZ,Belize,1179125011,244602865,25708877
BMU,BMU,Bermuda,68859957213,117049706069,131536415136
BOL,BOL,Bolivia,409540203,374555105,167767218
BRA,BRA,Brazil,3420440838170,659702984045,513883367207
BRB,BRB,Barbados,1923193905,2454969314,2419052646
BRN,BRN,Brunei Darussalam,107136259,550310555,165729365
BTN,BTN,Bhutan,0,0,0
BVT,BVT,Bouvet Island,0,0,0
BWA,BWA,Botswana,29120562,133231846,96470064
CAF,CAF,Central African Rep.,0,0,0
CAN,CAN,Canada,1070234315373,1150168993003,1480386504386
CCK,CCK,Cocos (Keeling) Islands,0,0,0
CHE,CHE,Switzerland,622289972392,474172359717,778285289613
CHL,CHL,Chile,124394631121,224554066765,181518383610
CHN,CHN,China,3412355706987,3055263362106,5275434496825
CIV,CIV,Cote-D'Ivoire,201119104,229810815,280678112
CMR,CMR,Cameroon,5547343,4915820,1449082
COD,COD,"Congo, Democratic Republic of",0,0,0
COG,COG,"Congo, Republic of the",14121788,470650,0
COK,COK,Cook Islands,4648626,45860504,36504001
COL,COL,Colombia,38529755673,223020475818,79405094041
COM,COM,Comoros,0,0,0
CPV,CPV,Cape Verde,0,0,0
CRI,CRI,Costa Rica,1120968,3381465,214065
CUB,CUB,Cuba,0,0,0
CUW,CUW,Nether. Antilles,1865584033,4027674442,3037694501
CXR,CXR,Christmas Island,0,27745230,0
CYM,CYM,Cayman Islands,26636766074,29629715405,25409543328
CYP,CYP,Cyprus,83033700796,97295217122,60626691920
CZE,CZE,Czech Republic,32234399998,16886332149,12031478161
DEU,DEU,Germany,1427820886032,801923020337,1145174431693
DJI,DJI,Djibouti,0,0,0
DMA,DMA,Dominica,0,0,0
DNK,DNK,Denmark,159994746202,120930956792,182782658904
DOM,DOM,Dominican Republic,0,15574357,12216
DZA,DZA,Algeria,532872492,957993932,1216477055
ECU,ECU,Ecuador,251361725,217758410,152107886
EGY,EGY,Egypt,7117992156,30817439249,21595677679
ERI,ERI,Eritrea,0,0,0
ESH,ESH,Western Sahara,0,0,0
ESP,ESP,Spain,686950857150,346458591855,391423296180
EST,EST,Estonia,4139654638,2885402039,2577832281
ETH,ETH,Ethiopia,0,0,0
FIN,FIN,Finland,137460818191,117622680382,212694470323
FJI,FJI,Fiji,23701117,73691056,24241317
FLK,FLK,Falkland (Malvinas),516570,375743,0
FRA,FRA,France,1656218969347,1152523376744,1298951528457
FRO,FRO,Faroe Islands,364722500,195071948,490187563
FSM,FSM,Micronesia,0,0,0
GAB,GAB,Gabon,861808884,513231523,6998691
GBR,GBR,United Kingdom,4288237468685,3120714689334,4494877241207
GEO,GEO,Georgia,132292396,136912418,1721235804
GGY,GGY,Guernsey,6890236054,10817315152,10656669146
GHA,GHA,Ghana,389916047,350251989,121437977
GIB,GIB,Gibraltar,12668434958,613122653,1455566905
GIN,GIN,Guinea,0,33173,29674
GLP,GLP,Guadeloupe,0,11617,52
GMB,GMB,Gambia,0,0,0
GNB,GNB,Guinea Bissau,0,0,0
GNQ,GNQ,Equatorial Guinea,0,0,0
GRC,GRC,Greece,67109521904,58135812048,22899743654
GRD,GRD,Grenada,226,142,114
GRL,GRL,Greenland,89135147,65881700,50483833
GTM,GTM,Guatemala,37066588,26429745,261355
GUF,GUF,French Guiana,0,0,0
GUM,GUM,Guam,0,0,0
GUY,GUY,Guyana,0,3772950,14823
HKG,HKG,Hong Kong SAR,714162329763,692596853156,995171907429
HMD,HMD,Heard Island and McDonald Islands,0,0,0
HND,HND,Honduras,0,0,0
HRV,HRV,Croatia,13746534071,8976909143,7166504181
HTI,HTI,Haiti,0,0,0
HUN,HUN,Hungary,13280504802,11611602338,14905866026
