ID,Country,ISO3,2007,2012,2017,2017/2007
1,United Kingdom,GBR,137347638574,121264385750,135581531051,0.9871413332
2,Australia,AUS,471579126397,381232260757,543292922619,1.152071608
3,Bermuda,BMU,68859957213,117049706069,131536415136,1.910201813
4,Canada,CAN,1070234315373,1150168993003,1480386504386,1.383235879
5,Cayman Islands,CYM,26636766074,29629715405,25409543328,0.9539274872
6,Ireland,IRL,122679886675,124399744223,169780826192,1.383933673
7,Finland,FIN,137460818191,117622680382,212694470323,1.547309794
8,France,FRA,1656218969347,1152523376744,1298951528457,0.784287315
9,Greece,GRC,67109521904,58135812048,22899743654,0.3412294262
10,Hong Kong SAR,HKG,714162329763,692596853156,995171907429,1.393481378
11,Italy,ITA,702562602837,356202648057,426415625112,0.6069432438
12,Japan,JPN,2180399482863,1959746854849,3086860156389,1.415731466
13,Luxembourg,LUX,154480728999,139003089071,169397941358,1.096563581
14,Malaysia,MYS,112438244482,354343303625,339737434147,3.021546945
15,New Zealand,NZL,10366934397,18498401168,28133714787,2.713793076
16,Poland,POL,85487988803,96101100825,104104886051,1.217772081
17,South Africa,ZAF,259678599635,272836841839,390933985433,1.505453226
18,Singapore,SGP,616363054733,563224612855,613156577389,0.9947977457
19,"Taiwan, R.O.C.",TWN,322587939838,358967002300,481105615623,1.491393683
20,Thailand,THA,47503369220,245623143790,302093311637,6.359408114
21,United States,USA,17983871881894,15473430633398,27107253505610,1.507309087
22,Denmark,DNK,159994746202,120930956792,182782658904,1.142429131
23,Norway,NOR,430923434051,610652222666,814533967843,1.890205785
24,Portugal,PRT,70401053236,29088876536,34414407586,0.4888337035
25,Spain,ESP,686950857150,346458591855,391423296180,0.5697981043
26,Sweden,SWE,456066953749,424375318131,576102004082,1.263196115
27,Austria,AUT,129521109226,74706743249,78354451699,0.60495507
28,Belgium,BEL,264059452182,206981033021,216075291903,0.8182827394
29,Germany,DEU,1427820886032,801923020337,1145174431693,0.8020434796
30,Netherlands,NLD,586660378551,525523900995,571307588945,0.9738301918
31,Switzerland,CHE,622289972392,474172359717,778285289613,1.250679465
32,Cyprus,CYP,83033700796,97295217122,60626691920,0.7301456076
33,Israel,ISR,94922517874,81543224023,116246501723,1.22464621
34,Russian Federation,RUS,467117793614,639551323542,283767466210,0.6074858849
35,Malta,MLT,288502450,2638739391,291702561,1.011092145
36,Hungary,HUN,13280504802,11611602338,14905866026,1.122387006
