ISO3,ISO3,Country,2007,2012,2017
ABW,ABW,Aruba,0,0,0
AFG,AFG,Afghanistan,0,0,0
AGO,AGO,Angola,0,0,0
AIA,AIA,Anguilla,3688757,14761027,18441348
ALB,ALB,Albania,0,0,0
AND,AND,Andorra,0,0,0
ARE,ARE,United Arab Emirates,20079594977,28539608985,56505620297
ARG,ARG,Argentina,24873040736,14829469774,19848491405
ARM,ARM,Armenia,0,0,0
ASM,ASM,American Samoa,0,0,0
ATA,ATA,Antartics,0,0,0
ATF,ATF,French Southern Territories,0,0,0
ATG,ATG,Antigua and Barbuda,0,0,0
AUS,AUS,Australia,498247648746,409283937283,490551416208
AUT,AUT,Austria,140437411450,64727354639,92258458641
AZE,AZE,Azerbaijan,0,0,0
BDI,BDI,Burundi,0,0,0
BEL,BEL,Belgium,230177132710,215470963090,164315012703
BEN,BEN,Benin,0,0,0
BES,BES,"Bonaire, St. Eustatius and Saba",0,0,0
BFA,BFA,Burkina Faso,0,0,0
BGD,BGD,Bangladesh,8344636,727845,49339445
BGR,BGR,Bulgaria,2542498583,658547534,1136733898
BHR,BHR,Bahrain,7557769750,8697061478,10461786341
BHS,BHS,Bahamas,0,0,0
BIH,BIH,Bosnia & Herzegovina,0,0,0
BLM,BLM,Saint Barthelemy,0,0,0
BLR,BLR,Belarus,0,0,0
BLZ,BLZ,Belize,0,0,0
BMU,BMU,Bermuda,86184694896,123672992631,135360412083
BOL,BOL,Bolivia,0,0,0
BRA,BRA,Brazil,2439047328610,691368055265,654933754313
BRB,BRB,Barbados,0,1958068,13070804
BRN,BRN,Brunei Darussalam,0,0,0
BTN,BTN,Bhutan,0,0,0
BVT,BVT,Bouvet Island,0,0,0
BWA,BWA,Botswana,0,0,0
CAF,CAF,Central African Rep.,0,0,0
CAN,CAN,Canada,778037158463,740098538018,813169062693
CCK,CCK,Cocos (Keeling) Islands,0,0,0
CHE,CHE,Switzerland,468474425986,500075461758,832918582065
CHL,CHL,Chile,95281154074,178144779535,156860655093
CHN,CHN,China,2568233525963,2107025436600,3936103632134
CIV,CIV,Cote-D'Ivoire,0,0,0
CMR,CMR,Cameroon,0,0,0
COD,COD,"Congo, Democratic Republic of",0,0,0
COG,COG,"Congo, Republic of the",0,0,0
COK,COK,Cook Islands,0,0,0
COL,COL,Colombia,34829148590,221348437586,87330951940
COM,COM,Comoros,0,0,0
